user_id,time_slot_0,time_slot_1,time_slot_2,time_slot_3,time_slot_4,time_slot_5,time_slot_6,time_slot_7,time_slot_8,time_slot_9,time_slot_10,time_slot_11,time_slot_12,time_slot_13,time_slot_14,time_slot_15,time_slot_16,time_slot_17,time_slot_18,time_slot_19,time_slot_20,time_slot_21,time_slot_22,time_slot_23,time_slot_24,time_slot_25,time_slot_26,time_slot_27
30460,-0.21647142,0.34016457,0.08051411,0.06143815,0.24080198,0.32367912,-0.06338208,0.053327523,0.18651865,0.3191453,0.069143355,0.040753964,0.17232992,0.31490704,0.062501244,0.044604316,0.18483725,0.27807078,0.04591254,-0.101672284,0.14497097,0.2533127,0.049611904,0.04190246,0.13552138,0.2611325,0.058352247,-0.15089525
30461,-0.20734006,0.29530123,0.05653251,0.04036086,0.22508448,0.29578584,-0.04616624,0.04105661,0.18103349,0.3066506,0.09399299,0.03896489,0.16786551,0.3113578,0.06517992,0.04654467,0.17169212,0.27214256,0.037762344,-0.09623834,0.1431778,0.24724256,0.041338097,0.03020771,0.13766076,0.23883344,0.046544127,-0.1426166
30462,-0.22021909,0.30263537,0.057384543,0.0412829,0.23168099,0.30763495,-0.046389837,0.043493968,0.19319431,0.3212207,0.106041014,0.043503083,0.1793836,0.3301665,0.070946015,0.053536214,0.18170913,0.28899768,0.042649534,-0.09853319,0.15520416,0.26108086,0.042868853,0.029806687,0.14998125,0.2490086,0.04990095,-0.15191677
30463,-0.09430501,0.16036867,0.034700207,0.021407828,0.120996706,0.16207418,-0.028551066,0.020881029,0.069278985,0.14629759,0.04448877,0.0136040645,0.06841272,0.14341436,0.031595312,0.01638404,0.07607016,0.11824564,0.029779386,-0.04156482,0.060555037,0.11811323,0.030031858,0.019841695,0.059846427,0.13597062,0.03455048,-0.07345305
30464,-0.11652051,0.18256019,0.037827834,0.024945801,0.13808958,0.18867843,-0.02925661,0.023672428,0.085096,0.17673081,0.05684152,0.015786465,0.08261572,0.174794,0.03509201,0.020595614,0.08980967,0.145977,0.030278273,-0.052401036,0.07240368,0.14398605,0.032071136,0.01925691,0.07225604,0.16036443,0.03815961,-0.08344121
30465,-0.10737338,0.17409654,0.036311317,0.022884246,0.13186105,0.17662291,-0.02911766,0.023040118,0.077632904,0.16533329,0.04895845,0.015145687,0.07618791,0.16232531,0.033499967,0.018704288,0.0844267,0.13468389,0.029192153,-0.047825098,0.06673512,0.13327432,0.03093439,0.019963967,0.06794161,0.15116756,0.03632002,-0.07967315
30466,-0.10729712,0.1737863,0.036524866,0.023725571,0.13137794,0.17738664,-0.02883215,0.022528237,0.07773544,0.16442986,0.050959468,0.014382067,0.075689234,0.16137747,0.033233926,0.018503826,0.083590716,0.13413815,0.029371532,-0.04864555,0.06663498,0.13331304,0.0311864,0.019636877,0.06656652,0.15095674,0.036684375,-0.07913406
30467,-0.16073585,0.22643884,0.044539593,0.031017397,0.17202865,0.23968795,-0.032795835,0.030363923,0.124464765,0.23651692,0.08377731,0.024147421,0.11856419,0.24048261,0.047386687,0.03358048,0.12327861,0.20503299,0.036000844,-0.07025412,0.10301437,0.19454597,0.036775284,0.019246498,0.102799915,0.20285255,0.045261797,-0.1083382
30468,-0.12542139,0.18917564,0.038914617,0.025064584,0.14402568,0.1983202,-0.029840518,0.024622403,0.096426345,0.18699266,0.064183466,0.018703697,0.093488045,0.18842548,0.039024137,0.024626184,0.09843255,0.15876564,0.032575537,-0.054307535,0.08042328,0.15220593,0.03278057,0.018343125,0.08006248,0.16309673,0.038082376,-0.08843238
30469,-0.19948608,0.2745739,0.051028043,0.04096171,0.20676653,0.2825467,-0.037569486,0.0388435,0.14867893,0.29597488,0.09643816,0.028597066,0.13890019,0.29777634,0.05447336,0.04206914,0.14852744,0.25461003,0.036828272,-0.09176932,0.123762116,0.24517101,0.042697065,0.024123956,0.12600553,0.25931036,0.055619318,-0.13354449
30470,-0.19701222,0.2673636,0.051766433,0.037702434,0.20360653,0.28182036,-0.03883493,0.036989536,0.16493304,0.28628582,0.106129594,0.033791568,0.15357885,0.2949507,0.061630137,0.04651392,0.15568507,0.25598297,0.04242568,-0.086321756,0.13464351,0.23640198,0.041181397,0.022613235,0.12965538,0.23266631,0.050248343,-0.1339119
30471,-0.13494137,0.2177538,0.043508466,0.026929885,0.16593006,0.21362431,-0.037381403,0.027914938,0.113704614,0.20930779,0.053887274,0.023723146,0.109485246,0.2063662,0.042571627,0.024071628,0.1143562,0.17652108,0.02797664,-0.064266324,0.08962994,0.16404149,0.033065386,0.025117263,0.08707127,0.16816387,0.03381693,-0.09668461
30472,-0.17714366,0.3071461,0.07177885,0.048253767,0.21910815,0.28137907,-0.058938425,0.04418427,0.15648675,0.27577907,0.043395143,0.030740587,0.14554228,0.26358953,0.051152397,0.02778037,0.15910168,0.23217106,0.033904277,-0.09001609,0.116926774,0.21217997,0.042684805,0.040238228,0.10807602,0.22263081,0.046115763,-0.12552759
30473,-0.2722734,0.44793954,0.11165356,0.0818936,0.32066858,0.39909816,-0.090170726,0.07456131,0.26266536,0.40397403,0.053817343,0.06194119,0.23903856,0.39266336,0.08485239,0.055410266,0.25582132,0.3557092,0.047146946,-0.13920256,0.19607626,0.31303036,0.05677843,0.06758465,0.1766015,0.304014,0.06083296,-0.19385107
30474,-0.09526258,0.1613807,0.03481879,0.021501472,0.12180465,0.16316424,-0.02859343,0.021036385,0.06988474,0.14767675,0.044807736,0.013735664,0.06899851,0.14478897,0.031721152,0.016539197,0.07667295,0.119440936,0.029714854,-0.042039454,0.060992368,0.11920251,0.030114667,0.019847073,0.060434934,0.13704787,0.034667406,-0.07387015
30475,-0.22895932,0.354095,0.07739449,0.05557094,0.25967965,0.3359542,-0.063085295,0.051978733,0.21075359,0.34136587,0.08006451,0.04483087,0.19234581,0.33878112,0.07130602,0.046908017,0.20120496,0.3011355,0.040840693,-0.112781994,0.16094734,0.27102312,0.047990676,0.04343368,0.14731878,0.26385856,0.051672906,-0.16004083
30476,-0.11883412,0.18659875,0.0379867,0.025212575,0.14134784,0.18974152,-0.029555697,0.024662338,0.08499097,0.18180808,0.05403822,0.015554842,0.08226855,0.17834105,0.03506974,0.020771654,0.091254644,0.14889178,0.028696015,-0.054434855,0.071847975,0.14692247,0.03211495,0.02002523,0.07392914,0.16510369,0.038365427,-0.08515015
30477,-0.1472257,0.23796064,0.0477205,0.03048502,0.1794485,0.23045404,-0.040607113,0.03098953,0.123218566,0.22904044,0.05444407,0.024937969,0.11769037,0.22417103,0.0444045,0.025181908,0.12435413,0.1925779,0.027633078,-0.072020434,0.096065365,0.17943071,0.03502472,0.02753687,0.093566276,0.18533134,0.036549073,-0.10381269
30478,-0.14064613,0.20804991,0.041570816,0.029242877,0.15736383,0.21685836,-0.03078886,0.02723934,0.10329378,0.21056288,0.069810495,0.018429792,0.09858484,0.20974423,0.039971493,0.026134362,0.105885215,0.17710751,0.03143404,-0.06434362,0.08613151,0.17262565,0.0347981,0.01940447,0.08661986,0.18756786,0.0426577,-0.09599677
30479,-0.1570031,0.22714718,0.043761097,0.031011302,0.172279,0.23540059,-0.032730907,0.03049345,0.11455093,0.23492946,0.07439577,0.022067513,0.10967364,0.2345496,0.042989664,0.029362248,0.11739852,0.19849437,0.031281307,-0.07216597,0.09532772,0.19211772,0.03666265,0.020904113,0.098055765,0.20746484,0.0455167,-0.10495796
30480,-0.16135365,0.2286671,0.045160435,0.033297718,0.17238446,0.24104954,-0.03244733,0.030505499,0.12180289,0.23871295,0.08424225,0.021564618,0.11479706,0.24050283,0.046198647,0.03275026,0.121461116,0.20483029,0.03529454,-0.07260064,0.101131275,0.19757645,0.03736465,0.019370792,0.10029066,0.20935854,0.0470512,-0.108642824
30481,-0.16257225,0.24753247,0.0507625,0.032708395,0.186645,0.25013858,-0.0413975,0.032004323,0.14405884,0.24390614,0.074832,0.029013684,0.13603611,0.2459621,0.05200904,0.032561116,0.13793449,0.21369398,0.0350141,-0.07490648,0.11262761,0.19498634,0.036954284,0.025206972,0.10486355,0.19108269,0.038909514,-0.11269355
30482,-0.18491271,0.26033938,0.04826814,0.035362817,0.19903632,0.26495022,-0.037456367,0.035824046,0.14447735,0.27524218,0.084885076,0.029411193,0.13566737,0.27719405,0.05311294,0.03861809,0.14313905,0.23782434,0.033192195,-0.085160896,0.11709363,0.22333021,0.038779616,0.024536893,0.11952023,0.23049158,0.047190458,-0.12484152
30483,-0.22226034,0.3639256,0.08174673,0.056181196,0.26547384,0.33523056,-0.06864957,0.053123284,0.21260698,0.33751878,0.06278735,0.04644734,0.19629031,0.33065185,0.07010486,0.041938536,0.20476653,0.2955714,0.037478976,-0.1134436,0.15898558,0.26246956,0.046546716,0.048263833,0.14267911,0.25083876,0.046351843,-0.15542574
30484,-0.22752999,0.32247278,0.061484467,0.045383755,0.24400415,0.31800303,-0.050600626,0.047082428,0.19499834,0.3366804,0.095776066,0.043222245,0.18051925,0.34052834,0.069221556,0.051163282,0.1874868,0.2972397,0.039641526,-0.10534002,0.15534869,0.27193865,0.0446658,0.034482367,0.15225446,0.2684028,0.052517984,-0.15746307
30485,-0.48808706,0.6249008,0.16652521,0.17547429,0.46120027,0.5685779,-0.1236392,0.17877747,0.4469584,0.63192385,0.1146458,0.17258203,0.39980257,0.6371925,0.1634676,0.18530634,0.42517188,0.5761475,0.12265323,-0.19819485,0.39567873,0.5427618,0.115667924,0.13916528,0.38728082,0.5320558,0.14001365,-0.42116982
30486,-0.20169754,0.28909037,0.05406761,0.038093574,0.22120123,0.28618386,-0.044866715,0.040575057,0.17153609,0.30074242,0.08464704,0.037469514,0.16031018,0.3036309,0.061816897,0.044005807,0.16635767,0.263781,0.03473143,-0.093389146,0.13551073,0.24020085,0.03970978,0.030248646,0.13487372,0.23653558,0.044997215,-0.13875906
30487,-0.22414,0.31977934,0.06276062,0.047215026,0.24046837,0.3182676,-0.05049781,0.045526784,0.19625829,0.33099985,0.101430334,0.041285828,0.17954458,0.3347926,0.06985404,0.050582994,0.18507984,0.29384,0.040883962,-0.10567297,0.15572739,0.26961878,0.045494378,0.033509012,0.14663881,0.26252306,0.052299704,-0.1553679
30488,-0.18248445,0.26922208,0.051411755,0.03407414,0.20675631,0.2674135,-0.043294355,0.03616132,0.1597907,0.2734122,0.077683926,0.035050616,0.15067339,0.2759994,0.057590134,0.038282827,0.15361004,0.24006164,0.032755308,-0.08548988,0.12483416,0.2166023,0.03740476,0.028533407,0.121348426,0.2090926,0.039240327,-0.12536587
30489,-0.15290529,0.25152466,0.06167104,0.04215942,0.17732729,0.2454519,-0.046870366,0.037243932,0.123672195,0.22766547,0.054652836,0.023986092,0.11614171,0.2231071,0.04398226,0.027631069,0.1280911,0.19383872,0.04020286,-0.06881052,0.097646676,0.18028449,0.040686633,0.02906269,0.09301928,0.19829954,0.04879529,-0.107708775
30490,-0.12184485,0.18921089,0.038510874,0.025469424,0.14340574,0.19464687,-0.029783685,0.024751827,0.08802779,0.18496917,0.05739024,0.01670573,0.08553999,0.18261583,0.035647135,0.02124299,0.09314218,0.15271237,0.029367482,-0.05562669,0.07445845,0.15019427,0.032732595,0.019790333,0.075616084,0.16710442,0.03889093,-0.08587856
30491,-0.09838502,0.1646501,0.035206478,0.021835072,0.12440435,0.16666278,-0.028719058,0.021547452,0.07186156,0.1522042,0.04587161,0.014117227,0.070858896,0.14928375,0.032154683,0.017070511,0.07864868,0.12334966,0.029550146,-0.043545216,0.062447667,0.12280046,0.030333353,0.019867746,0.062355448,0.14063999,0.03507749,-0.075308904
30492,-0.1649574,0.27022156,0.054203074,0.033980817,0.20463324,0.2551232,-0.04832593,0.03534661,0.15297951,0.25673446,0.055491563,0.03359525,0.14566982,0.25275978,0.053616177,0.030197226,0.14904125,0.22115725,0.028074382,-0.082771845,0.115636505,0.19759327,0.03594026,0.033302523,0.10809994,0.18802212,0.0326499,-0.11619203
30493,-0.12085402,0.18872695,0.03806808,0.024666844,0.14327228,0.19175526,-0.029918756,0.025281437,0.0864874,0.18497172,0.053696666,0.016764596,0.08433368,0.18191874,0.035594214,0.021226266,0.09316447,0.1517753,0.028688801,-0.054586105,0.07325835,0.14903891,0.032138746,0.02027867,0.076257676,0.16704407,0.03834957,-0.08628933
30494,-0.3503706,0.47745496,0.12330506,0.09375409,0.3499139,0.4603133,-0.092726626,0.09932446,0.36560798,0.4756672,0.14463641,0.10343856,0.32627955,0.49259898,0.14336911,0.12157284,0.33150008,0.45468435,0.092292525,-0.14551564,0.30100647,0.3922666,0.06686181,0.07188607,0.26791385,0.33250296,0.07901663,-0.27439672
